Country,Life Expectancy,Adult Mortality,Infant Deaths,Alcohol,Percentage Expenditure,Hepatitis B,Measles,BMI,Polio,Total Expenditure,Diphtheria,HIV/AIDS,GDP,Thinness 1-19 Years,Thinness 5-9 Years,Income Composition of Resources,Schooling,Under Five Deaths,Freedom on Happiness,GDP per Capita on Happiness,Generosity on Happiness,Government Corruption on Happiness,Happiness Rank,Happiness Score,Life Expectancy on Happiness,Social Support on Happiness,Region,Population,Area,gini,Real Growth Rating(%),Literacy Rate(%),Inflation(%),Unemployement(%),Developed,Developing,Happiness Status,Total Immunized Disease(%)
Iraq,70.35625,136.75,31.1875,0.126875,120.6636895,64.875,527.375,48.59375,66.75,4.431875,68.5625,0.1,3004.872384,5.4,5.1625,0.6335,9.90625,38,0.298926943,0.557626273,0.207796939,0.204908682,116.8,0.361583923,0.477530319,0.528047834,4,37883543,438317,30.9,4.2,78.5,2,16,0,1,1,66.72916667
Ireland,80.15,72.4375,0,11.72,934.6029747,61.3125,174.5,53.6875,88.8125,7.533125,88.875,0.1,9432.620225,0.3,0.21875,0.8915,17.65625,0,0.790320536,0.78065112,0.463323199,0.543189344,16.4,0.841489369,0.770317726,0.87898797,9,6378000,70273,34.3,0.6,99,0.6,13.5,1,0,2,79.66666667
Israel,81.3,59.5,0.9375,2.341875,590.2929072,97.4375,132.6875,54.9875,94.25,7.29875,91.75,0.1,7709.804679,1.14375,1.1,0.8731875,15.7125,1,0.576657073,0.696892451,0.381751597,0.219011107,13,0.876516934,0.7911383,0.80408637,4,8527400,20770,39.2,3.3,97,3.9,1.7,0,1,2,94.47916667
Italy,82.1875,54.1875,2,7.750625,739.6569129,95.5,431.6875,56.15,96.125,8.51625,94.75,0.1,7513.122776,0.5125,0.525,0.8580625,15.93125,2.3125,0.336762628,0.701226954,0.205914622,0.050949644,46.2,0.655910169,0.813956941,0.811844681,9,60665551,301336,36,1.8,99,1.2,12.4,1,0,0,95.45833333
Jamaica,74.29375,141.25,1,3.398125,134.2494502,74.3125,0.1875,45.425,92.3125,5.11,92.0625,1.05,2509.54647,1.88125,1.7375,0.709625,12.275,1,0.684999237,0.457490678,0.207992881,0.065299698,65.2,0.584909366,0.604228288,0.785153049,3,2723246,10991,45.5,3.5,87,2.8,4.5,0,1,0,86.22916667
Japan,82.5375,57.125,2.875,6.60125,771.5733599,99,505.3125,25.60625,96,6.355625,96.25,0.1,8641.058428,1.8125,1.54375,0.8765625,14.975,4,0.681598217,0.715078882,0.114038165,0.298675776,52.4,0.63687943,0.8581062,0.807177351,2,126960000,377930,38.1,2,99,0.2,4.1,1,0,0,97.08333333
Jordan,72.9875,114.3125,4,0.485625,273.5995342,97,26.5,53,97.125,8.52,97,0.1,1822.629926,3.8875,3.86875,0.729,13.2375,4,0.56250308,0.486295256,0.158773459,0.239061902,85.4,0.489873907,0.590376873,0.686760206,4,9531712,89342,35.4,2.5,92.6,6.4,12.3,0,1,1,97.04166667
Kazakhstan,66.7625,232.0625,7.125,6.226875,203.0309086,97.3125,205.6875,45.15625,97.5,4.055625,96.4375,0.1,3942.255137,2.4375,2.54375,0.7450625,14.025,8.0625,0.614128255,0.636373258,0.182404743,0.192836834,57.6,0.619661135,0.558033576,0.789077739,1,17753200,2724900,29,5,99.7,5.8,5.3,0,1,0,97.08333333
Kenya,57.48125,348.5625,54.9375,1.5025,61.65546434,75.75,472.1875,15.5625,78.4375,4.664375,78.875,1.7,716.7700679,8.4,8.2875,0.497125,9.96875,66,0.612064576,0.262230538,0.467156265,0.107949238,120.8,0.346020477,0.361228457,0.591254346,8,47251000,580367,47.7,5.1,87.4,5.8,40,0,1,1,77.6875
Kuwait,73.84375,83.25,0.5,0.020625,832.9089794,98.1875,15.375,59.60625,98.1875,2.92125,98.5,0.1,9586.863184,3.28125,3.15625,0.7895,13.725,1,0.6988916,0.831564584,0.205046,0.330104383,43,0.680772257,0.609240264,0.720586222,4,4183658,17818,36.7,8.2,93.3,5.6,2.2,0,1,0,98.29166667
Kyrgyzstan,69.08125,173.6875,3.75,2.12625,0,85.5625,97.375,35.1125,95.875,6.02375,96.5625,0.1125,47.5432354,3.35625,3.4125,0.6220625,12.3375,4.125,0.646362815,0.289928354,0.404307502,0.067902078,87.6,0.488652482,0.539145977,0.772959683,1,6047800,199951,36.2,7.4,99.2,6.8,8.6,0,1,1,92.66666667
Latvia,73.73125,161.8125,0,8.310625,477.0464588,88.9375,3.3125,51.30625,95.0625,6.223125,95,0.1,6966.589126,2.40625,2.43125,0.7925,15.56875,0,0.422480086,0.633617419,0.161509329,0.129029272,63.4,0.587706846,0.61094776,0.774888679,1,1961600,64559,36.6,4,99,0.2,9.8,1,0,0,93
Lebanon,74.2,65.3125,1,1.674375,333.0479451,70.5,229.25,55.3375,74,6.54125,76.125,0.1,4696.192379,4.76875,4.71875,0.4696875,13.74375,1,0.444462979,0.553282281,0.262487378,0.10035833,91,0.483963739,0.689966885,0.605167183,4,5988000,10452,36.7,1.5,89.6,5,9.2,0,1,1,73.54166667
Lesotho,48.925,427,4.5,1.956875,82.1189129,62.6875,163.125,25.2375,78.6875,7.40875,84.9375,1.7,794.5230103,7.1875,7.06875,0.4568125,10.65625,6.3125,0.514617161,0.248223396,0.162389156,0.203445598,130.25,0.273049639,0.070797546,0.701813441,8,1894194,30355,52.5,4.1,89.6,5,25,0,1,1,75.4375
Liberia,57.525,246.9375,10.6875,3.055,25.27170668,56.5625,249.5625,19.9875,62.9375,6.509375,59.8125,1.51875,246.281748,7.8375,7.7625,0.3894375,9.86875,14.75,0.459853918,0.047713276,0.28393632,0.077109764,140.8,0.22580771,0.265307309,0.479966902,8,4615000,111369,38.2,8.1,60.8,5.2,85,0,1,3,59.77083333
Libya,72.4875,139.6875,2.1875,0.01,180.0749891,96.3125,234.875,54.8375,96.5,3.7825,96.5,0.1,3262.236559,5.6,5.43125,0.7408125,14.79375,2.5,0.608047854,0.569727476,0.180149395,0.219684445,68,0.572104016,0.521123404,0.739652595,4,6385000,1759540,39.8,5.1,89.5,3.2,30,0,1,0,96.4375
Lithuania,72.80625,117.25,0,11.53,674.2068568,94.75,14.9375,49.23125,91.5,6.425625,94.25,0.1,7427.199456,2.9375,2.96875,0.8066875,16.1,0,0.353022593,0.659196648,0.030027058,0.032025382,52,0.637667447,0.620678342,0.831761084,1,2872294,65300,37.6,3.4,99,1.2,12.4,1,0,0,93.5
Luxembourg,80.78125,67.5625,0,11.1775,949.2384241,92.375,1.125,47.825,98.0625,7.363125,98.9375,0.1,9443.219391,0.95,0.9125,0.878125,13.6375,0,0.806397207,0.875403441,0.293346239,0.611369399,17.2,0.835894399,0.791840402,0.817056407,9,576200,2586,30.8,0.5,100,0.7,10.2027027,1,0,2,96.45833333
Madagascar,62.74375,228.8125,34.9375,0.769375,43.25315657,61.8125,260.9375,14.76875,68.375,4.70375,69.9375,0.525,314.0413296,7.86875,7.78125,0.4566875,9.33125,51,0.244993582,0.142143797,0.230638629,0.113617066,145,0.207328595,0.380459826,0.470338245,8,22434363,587041,44.1,2.6,64.5,8.8,30,0,1,3,66.70833333
Malawi,50.375,363.75,37.125,0.8625,25.84970646,86.375,174.0625,16.78125,89.0625,6.470625,86.375,1.7,237.504042,7.11875,6.9875,0.410625,10.23125,55.9375,0.631423938,0.076286629,0.323629797,0.140284341,139.2,0.234436554,0.286651987,0.264222486,8,16832910,118484,39,4.3,74.8,18.4,30,0,1,3,87.27083333
